BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2024,August,All India,Combined,General,*,193.0,3.65
2012,2024,July,All India,Combined,General,*,193.0,3.60
2012,2024,June,All India,Combined,General,*,190.2,5.08
2012,2024,May,All India,Combined,General,*,187.7,4.80
2012,2024,April,All India,Combined,General,*,186.7,4.83
2012,2024,March,All India,Combined,General,*,185.8,4.85
2012,2024,February,All India,Combined,General,*,185.8,5.09
2012,2024,January,All India,Combined,General,*,185.5,5.10
2012,2023,December,All India,Combined,General,*,185.7,5.69
2012,2023,November,All India,Combined,General,*,186.3,5.55
2012,2023,October,All India,Combined,General,*,185.3,4.87
2012,2023,September,All India,Combined,General,*,184.1,5.02
2012,2023,August,All India,Combined,General,*,186.2,6.83
2012,2023,July,All India,Combined,General,*,186.3,7.44
2012,2023,June,All India,Combined,General,*,181.0,4.87
2012,2023,May,All India,Combined,General,*,179.1,4.31
2012,2023,April,All India,Combined,General,*,178.1,4.70
2012,2023,March,All India,Combined,General,*,177.2,5.66
2012,2023,February,All India,Combined,General,*,176.8,6.44
2012,2023,January,All India,Combined,General,*,176.5,6.52
2012,2022,December,All India,Combined,General,*,175.7,5.72
2012,2022,November,All India,Combined,General,*,176.5,5.88
2012,2022,October,All India,Combined,General,*,176.7,6.77
2012,2022,September,All India,Combined,General,*,175.3,7.41
2012,2022,August,All India,Combined,General,*,174.3,7.00
2012,2022,July,All India,Combined,General,*,173.4,6.71
2012,2022,June,All India,Combined,General,*,172.6,7.01
2012,2022,May,All India,Combined,General,*,171.7,7.04
2012,2022,April,All India,Combined,General,*,170.1,7.79
2012,2022,March,All India,Combined,General,*,167.7,6.95
2012,2022,February,All India,Combined,General,*,166.1,6.07
2012,2022,January,All India,Combined,General,*,165.7,6.01
2012,2021,December,All India,Combined,General,*,166.2,5.66
2012,2021,November,All India,Combined,General,*,166.7,4.91
2012,2021,October,All India,Combined,General,*,165.5,4.48
2012,2021,September,All India,Combined,General,*,163.2,4.35
2012,2021,August,All India,Combined,General,*,162.9,5.30
2012,2021,July,All India,Combined,General,*,162.5,5.59
2012,2021,June,All India,Combined,General,*,161.3,6.26
2012,2021,May,All India,Combined,General,*,160.4,6.30
2012,2021,April,All India,Combined,General,*,157.8,4.23
2012,2021,March,All India,Combined,General,*,156.8,5.52
2012,2021,February,All India,Combined,General,*,156.6,5.03
2012,2021,January,All India,Combined,General,*,156.3,4.06
2012,2020,December,All India,Combined,General,*,157.3,4.59
2012,2020,November,All India,Combined,General,*,158.9,6.93
2012,2020,October,All India,Combined,General,*,158.4,7.61
2012,2020,September,All India,Combined,General,*,156.4,7.27
2012,2020,August,All India,Combined,General,*,154.7,6.69
2012,2020,July,All India,Combined,General,*,153.9,6.73
2012,2020,June,All India,Combined,General,*,151.8,6.23
2012,2020,May,All India,Combined,General,*,150.9,*
2012,2020,April,All India,Combined,General,*,151.4,*
2012,2020,March,All India,Combined,General,*,148.6,5.84
2012,2020,February,All India,Combined,General,*,149.1,6.58
2012,2020,January,All India,Combined,General,*,150.2,7.59
2012,2019,December,All India,Combined,General,*,150.4,7.35
2012,2019,November,All India,Combined,General,*,148.6,5.54
2012,2019,October,All India,Combined,General,*,147.2,4.62
2012,2019,September,All India,Combined,General,*,145.8,3.99
2012,2019,August,All India,Combined,General,*,145.0,3.28
2012,2019,July,All India,Combined,General,*,144.2,3.15
2012,2019,June,All India,Combined,General,*,142.9,3.18
2012,2019,May,All India,Combined,General,*,142.0,3.05
2012,2019,April,All India,Combined,General,*,141.2,2.99
2012,2019,March,All India,Combined,General,*,140.4,2.86
2012,2019,February,All India,Combined,General,*,139.9,2.57
2012,2019,January,All India,Combined,General,*,139.6,1.97
2012,2018,December,All India,Combined,General,*,140.1,2.11
2012,2018,November,All India,Combined,General,*,140.8,2.33
2012,2018,October,All India,Combined,General,*,140.7,3.38
2012,2018,September,All India,Combined,General,*,140.2,3.70
2012,2018,August,All India,Combined,General,*,140.4,3.69
2012,2018,July,All India,Combined,General,*,139.8,4.17
2012,2018,June,All India,Combined,General,*,138.5,4.92
2012,2018,May,All India,Combined,General,*,137.8,4.87
2012,2018,April,All India,Combined,General,*,137.1,4.58
2012,2018,March,All India,Combined,General,*,136.5,4.28
2012,2018,February,All India,Combined,General,*,136.4,4.44
2012,2018,January,All India,Combined,General,*,136.9,5.07
2012,2017,December,All India,Combined,General,*,137.2,5.21
2012,2017,November,All India,Combined,General,*,137.6,4.88
2012,2017,October,All India,Combined,General,*,136.1,3.58
2012,2017,September,All India,Combined,General,*,135.2,3.28
2012,2017,August,All India,Combined,General,*,135.4,3.28
2012,2017,July,All India,Combined,General,*,134.2,2.36
2012,2017,June,All India,Combined,General,*,132.0,1.46
2012,2017,May,All India,Combined,General,*,131.4,2.18
2012,2017,April,All India,Combined,General,*,131.1,2.99
2012,2017,March,All India,Combined,General,*,130.9,3.89
2012,2017,February,All India,Combined,General,*,130.6,3.65
2012,2017,January,All India,Combined,General,*,130.3,3.17
2012,2016,December,All India,Combined,General,*,130.4,3.41
2012,2016,November,All India,Combined,General,*,131.2,3.63
2012,2016,October,All India,Combined,General,*,131.4,4.20
2012,2016,September,All India,Combined,General,*,130.9,4.39
2012,2016,August,All India,Combined,General,*,131.1,5.05
2012,2016,July,All India,Combined,General,*,131.1,6.07
2012,2016,June,All India,Combined,General,*,130.1,5.77
2012,2016,May,All India,Combined,General,*,128.6,5.76
2012,2016,April,All India,Combined,General,*,127.3,5.47
2012,2016,March,All India,Combined,General,*,126.0,4.83
2012,2016,February,All India,Combined,General,*,126.0,5.26
2012,2016,January,All India,Combined,General,*,126.3,5.69
2012,2015,December,All India,Combined,General,*,126.1,5.61
2012,2015,November,All India,Combined,General,*,126.6,5.41
2012,2015,October,All India,Combined,General,*,126.1,5.00
2012,2015,September,All India,Combined,General,*,125.4,4.41
2012,2015,August,All India,Combined,General,*,124.8,3.74
2012,2015,July,All India,Combined,General,*,123.6,3.69
2012,2015,June,All India,Combined,General,*,123.0,5.40
2012,2015,May,All India,Combined,General,*,121.6,5.01
2012,2015,April,All India,Combined,General,*,120.7,4.87
2012,2015,March,All India,Combined,General,*,120.2,5.25
2012,2015,February,All India,Combined,General,*,119.7,5.37
2012,2015,January,All India,Combined,General,*,119.5,5.19
2012,2014,December,All India,Combined,General,*,119.4,4.28
2012,2014,November,All India,Combined,General,*,120.1,3.27
2012,2014,October,All India,Combined,General,*,120.1,4.62
2012,2014,September,All India,Combined,General,*,120.1,5.63
2012,2014,August,All India,Combined,General,*,120.3,7.03
2012,2014,July,All India,Combined,General,*,119.2,7.39
2012,2014,June,All India,Combined,General,*,116.7,6.77
2012,2014,May,All India,Combined,General,*,115.8,8.33
2012,2014,April,All India,Combined,General,*,115.1,8.48
2012,2014,March,All India,Combined,General,*,114.2,8.25
2012,2014,February,All India,Combined,General,*,113.6,7.88
2012,2014,January,All India,Combined,General,*,113.6,8.60
2012,2013,December,All India,Combined,General,*,114.5,*
2012,2013,November,All India,Combined,General,*,116.3,*
2012,2013,October,All India,Combined,General,*,114.8,*
2012,2013,September,All India,Combined,General,*,113.7,*
2012,2013,August,All India,Combined,General,*,112.4,*
2012,2013,July,All India,Combined,General,*,111.0,*
2012,2013,June,All India,Combined,General,*,109.3,*
2012,2013,May,All India,Combined,General,*,106.9,*
2012,2013,April,All India,Combined,General,*,106.1,*
2012,2013,March,All India,Combined,General,*,105.5,*
2012,2013,February,All India,Combined,General,*,105.3,*
2012,2013,January,All India,Combined,General,*,104.6,*
